,,,,,,,,,,,,,,,,5,12,3,5,5,12,3,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,1,1,12,7,1,1,5,1,5,3,1,12,7,,,,,,,,,,,,,
,,,,,,,,,,,5,5,7,1,7,5,1,5,7,7,7,1,3,5,7,12,1,7,,,,,,,,,,,
,,,,,,,,,5,7,3,3,7,12,12,7,3,12,5,5,12,7,7,5,12,5,7,12,7,3,,,,,,,,,
,,,,,,,,5,5,12,7,5,7,7,5,5,12,7,3,7,7,7,7,12,5,5,3,7,5,5,7,,,,,,,,
,,,,,,,5,1,1,1,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,12,,,,,,
,,,,,,3,1,1,1,1,1,1,5,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,7,,,,,
,,,,,7,7,5,3,12,5,12,3,3,12,12,12,12,3,12,7,3,3,12,5,12,3,5,5,5,7,12,12,7,3,,,,,
,,,,12,7,7,7,12,12,7,7,7,5,5,7,3,5,7,12,7,5,5,7,7,3,7,5,7,12,12,7,5,5,3,12,,,,
,,,1,12,1,1,12,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,12,1,7,1,1,1,1,1,1,1,1,1,7,5,,,
,,,5,1,1,1,1,1,1,7,1,1,1,12,5,1,1,1,1,1,1,12,1,1,1,1,3,5,1,12,1,1,1,1,1,1,12,,
,,12,5,12,12,12,3,7,12,12,3,12,3,5,7,5,7,3,7,7,7,5,5,5,5,7,5,5,5,3,7,12,5,12,7,3,5,,
,,3,3,5,5,12,3,12,3,3,7,12,7,3,3,5,5,12,5,3,12,3,3,5,5,7,12,12,5,12,7,3,12,3,7,12,3,5,
,5,1,1,1,1,1,12,3,1,1,1,1,1,1,1,7,1,1,1,5,3,1,7,1,12,1,7,1,3,1,1,1,1,3,1,1,1,5,
,7,1,1,1,1,1,1,1,7,3,1,1,1,1,1,7,1,1,1,5,1,7,1,1,1,12,1,1,1,7,1,3,12,1,1,3,12,3,
,7,3,3,7,7,3,12,5,5,5,5,3,5,3,3,5,7,12,5,5,12,7,12,12,12,12,5,5,5,3,7,7,12,3,5,3,12,5,3
7,12,12,3,5,3,5,7,5,3,7,3,3,3,3,5,12,12,3,3,5,7,7,12,5,3,3,3,3,12,5,12,7,7,5,12,3,3,5,5
7,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,12,3
7,1,1,1,1,1,1,1,7,1,12,1,1,7,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,1,3,1,7,1,3,7
12,12,3,12,3,5,3,3,3,3,12,3,5,7,12,12,3,12,7,3,5,12,5,3,12,12,12,12,12,5,3,7,3,5,7,12,5,5,7,3
7,7,7,5,12,5,7,5,3,7,3,12,7,5,5,7,5,5,5,5,12,3,12,5,7,3,5,12,5,3,7,3,5,5,7,7,7,12,3,5
3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,12,1,1,1,1,1,1,12,7,1,1,1,1,1,1,1,12,3
12,1,12,1,1,1,3,1,5,1,1,1,12,5,1,1,1,1,1,1,1,1,1,1,1,12,1,1,12,1,1,1,5,1,1,1,1,1,1,3
